id,School,Gender,Race,Local,Full Time,Future,Effectiveness,Online Supplement,Supplement Use
916077115,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
916082731,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
917218853,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916777620,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
@00293246,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
20397598,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Somewhat difficult
917017522,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
916423734,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
916600781,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult
916779674,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916164605,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Somewhat difficult
916040065,San Francisco State University,Female,African American,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916607086,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,Very difficult
917012907,San Francisco State University,Female,White,Local Student,Full time,Not related,Somewhat effective,Very helpful,Not too difficult
916011101,San Francisco State University,Male,Hispanic,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
917063646,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916213004,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
915224120,San Francisco State University,Female,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
912620883,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
20383600,University of San Francisco,Female,Hispanic,Local Student,Full time,Not too helpful,Somewhat effective,Very helpful,No problem at all
916338051,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
w10627332,City College of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Not too effective,Not too helpful,Not too difficult
916693666,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult
917180126,San Francisco State University,Female,Others,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
915505869,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
913722750,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Very difficult
20453107,University of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916742676,San Francisco State University,Female,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
20365765,University of San Francisco,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
915892996,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
917114801,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult
917081040,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
915362596,San Francisco State University,Male,Hispanic,Local Student,Full time,Not too helpful,Somewhat effective,Very helpful,No problem at all
915473291,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
912780692,San Francisco State University,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916735617,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
913811085,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
915479544,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Somewhat difficult
W10610676,City College of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
916543256,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
916093729,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,No problem at all
916782872,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
20385308,University of San Francisco,Male,White,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,No problem at all
20403071,University of San Francisco,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
20403727,University of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
W10346941,City College of San Francisco,Male,Asian,Local Student,Part time,Very helpful,Very effective,Very helpful,No problem at all
916434368,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
916684462,San Francisco State University,Female,Others,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
W78018756,City College of San Francisco,Male,Asian,Local Student,Part time,Very helpful,Very effective,Very helpful,No problem at all
w77076194,City College of San Francisco,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
913308375,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all
w10372291,City College of San Francisco,Female,Asian,Local Student,Part time,Somewhat helpful,Very effective,Very helpful,Not too difficult
917211443,San Francisco State University,Male,Asian,International Student,Full time,Not too helpful,Not too effective,Not helping at all,Not too difficult
917220127,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
20447005,University of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
917028819,San Francisco State University,Female,White,Local Student,Full time,Very helpful,Not too effective,Not too helpful,Not too difficult
915149994,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult
911971312,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
@00293014,City College of San Francisco,Male,African American,International Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Somewhat difficult
20400554,University of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Not too helpful,No problem at all
916549288,San Francisco State University,Female,White,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,Not too difficult
20396161,University of San Francisco,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916890811,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
w77018564,City College of San Francisco,Female,Asian,Local Student,Part time,Very helpful,Somewhat effective,Very helpful,Not too difficult
20447206,University of San Francisco,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
913408345,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
916727453,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
917079870,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916885130,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult
916556568,San Francisco State University,Male,Asian,Local Student,Full time,Not too helpful,Somewhat effective,Somewhat helpful,No problem at all
20403573,University of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
917009930,San Francisco State University,Female,African American,Local Student,Full time,Not too helpful,Somewhat effective,Not helping at all,Not too difficult
917036489,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,No problem at all
917167126,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult
916977729,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
916965678,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult
915616954,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Very difficult
916732146,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
916848665,San Francisco State University,Female,Others,International Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
20391360,University of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
20390317,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
916104883,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
915944294,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
916257737,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
916365143,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
917160392,San Francisco State University,Female,Hispanic,International Student,Part time,Somewhat helpful,Very effective,Somewhat helpful,Somewhat difficult
20402074,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
913745006,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
916227967,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
916301365,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Very difficult
20401430,University of San Francisco,Female,African American,Local Student,Full time,Somewhat helpful,Not too effective,Very helpful,No problem at all
916514123,San Francisco State University,Male,African American,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
917227732,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Not too difficult
917131909,San Francisco State University,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916615172,San Francisco State University,Female,Asian,Local Student,Full time,Not too helpful,Not too effective,Very helpful,Somewhat difficult
915632905,San Francisco State University,Female,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,Somewhat difficult
916157897,San Francisco State University,Female,Asian,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
915059020,San Francisco State University,Male,Asian,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
20395714,University of San Francisco,Female,Others,International Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Not too difficult
W10436426,City College of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
917073136,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
w10485795,City College of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all
917084992,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
917112370,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Very helpful,Not too difficult
916248689,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
916871233,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
20397795,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
916753388,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,No problem at all
915937599,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult
915221832,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
20274612,University of San Francisco,Male,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
916170351,San Francisco State University,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
913650691,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Somewhat difficult
916663233,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916564160,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Not too difficult
20384843,University of San Francisco,Male,White,Local Student,Full time,Not too helpful,Struggle learning in this class,Not helping at all,No problem at all
916653665,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
915971906,San Francisco State University,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916820754,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Not too helpful,Somewhat difficult
916619748,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Not too effective,Very helpful,No problem at all
916811342,San Francisco State University,Male,White,Local Student,Part time,Somewhat helpful,Not too effective,Not too helpful,Somewhat difficult
912349859,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
915559806,San Francisco State University,Female,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
916910805,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Not too helpful,Not too difficult
916791465,San Francisco State University,Female,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all
20369676,University of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
916093963,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
913460163,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916611506,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult
917037334,San Francisco State University,Female,Hispanic,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
20387494,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Somewhat difficult
20398748,University of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916710358,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
917220075,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult
20386191,University of San Francisco,Male,White,Local Student,Full time,Very helpful,Not too effective,Somewhat helpful,Not too difficult
20386978,University of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Not too effective,Not too helpful,No problem at all
20396952,University of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916679197,San Francisco State University,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916389596,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult
916110005,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
913782238,San Francisco State University,Male,White,Local Student,Part time,Not related,Somewhat effective,Very helpful,No problem at all
917071498,San Francisco State University,Female,Others,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Somewhat helpful,Not too difficult
916034241,San Francisco State University,Female,Hispanic,Local Student,Full time,Not too helpful,Struggle learning in this class,Not too helpful,Not too difficult
917220114,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult
916866137,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
W10608407,City College of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
915505505,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916657760,San Francisco State University,Male,Hispanic,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
916140867,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all
916712295,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
916317563,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
911857289,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Somewhat difficult
916566695,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Somewhat helpful,Not too difficult
916566747,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,No problem at all
916045603,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,Not too difficult
916035125,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
W10370252,City College of San Francisco,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
916734850,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
916892254,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Not too effective,Very helpful,No problem at all
20395728,University of San Francisco,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
917206724,San Francisco State University,Female,Hispanic,International Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all
20391655,University of San Francisco,Male,Asian,International Student,Full time,Not related,Somewhat effective,Somewhat helpful,Not too difficult
20391171,University of San Francisco,Male,White,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
20383015,University of San Francisco,Female,White,Local Student,Full time,Not too helpful,Not too effective,Not too helpful,Not too difficult
20402971,University of San Francisco,Male,White,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
20391297,University of San Francisco,Male,White,Local Student,Full time,Somewhat helpful,Not too effective,Very helpful,Not too difficult
20390495,University of San Francisco,Female,Others,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
20446222,University of San Francisco,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
20395914,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
20396692,University of San Francisco,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
915886652,San Francisco State University,Male,Hispanic,Local Student,Full time,Very helpful,Not too effective,Somewhat helpful,No problem at all
916983891,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916972945,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
20447183,University of San Francisco,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
20394696,University of San Francisco,Male,White,Local Student,Full time,Not too helpful,Not too effective,Not too helpful,Not too difficult
@00281914,City College of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
915831285,San Francisco State University,Female,African American,Local Student,Full time,Somewhat helpful,Somewhat effective,Not too helpful,Somewhat difficult
916209091,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Somewhat difficult
915846144,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Somewhat helpful,Not too difficult
916663324,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,No problem at all
916734213,San Francisco State University,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
916174043,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
915968370,San Francisco State University,Male,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all
915840931,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916639105,San Francisco State University,Female,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Very helpful,Not too difficult
916295437,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
917200432,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Very difficult
916977898,San Francisco State University,Female,Hispanic,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
916732913,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Not too effective,Somewhat helpful,Not too difficult
915062387,San Francisco State University,Female,White,Local Student,Full time,Not too helpful,Struggle learning in this class,Somewhat helpful,Not too difficult
20391480,University of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Very difficult
917038920,San Francisco State University,Female,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
916996358,San Francisco State University,Female,White,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,Not too difficult
W10621049,City College of San Francisco,Female,White,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
20402818,University of San Francisco,Male,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
917216643,San Francisco State University,Male,Asian,International Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
912437037,San Francisco State University,Male,Asian,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,Not too difficult
20359402,University of San Francisco,Female,White,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Somewhat helpful,Not too difficult
20333758,University of San Francisco,Male,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
20360174,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
20392409,University of San Francisco,Male,Others,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
20389707,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
20383145,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Somewhat difficult
@00283469,City College of San Francisco,Male,Others,International Student,Full time,Very helpful,Very effective,Very helpful,No problem at all
20395201,University of San Francisco,Female,Hispanic,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
917041728,San Francisco State University,Male,Asian,Local Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Somewhat difficult
20400616,University of San Francisco,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Somewhat helpful,No problem at all
916197040,San Francisco State University,Male,White,Local Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
20387078,University of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Somewhat helpful,Not too difficult
20390813,University of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,No problem at all
w10536613,City College of San Francisco,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
20399992,University of San Francisco,Male,Asian,International Student,Full time,Very helpful,Somewhat effective,Not too helpful,Not too difficult
20386864,University of San Francisco,Female,Asian,Local Student,Full time,Very helpful,Somewhat effective,Very helpful,No problem at all
916625429,San Francisco State University,Female,Hispanic,Local Student,Full time,Very helpful,Very effective,Somewhat helpful,No problem at all
20388002,University of San Francisco,Female,Asian,International Student,Full time,Somewhat helpful,Very effective,Very helpful,No problem at all
w10546500,City College of San Francisco,Male,Asian,Local Student,Part time,Somewhat helpful,Somewhat effective,Somewhat helpful,No problem at all
20386727,University of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
916598766,San Francisco State University,Male,Asian,International Student,Full time,Somewhat helpful,Somewhat effective,Somewhat helpful,Not too difficult
W10609805,City College of San Francisco,Male,Hispanic,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
20384727,University of San Francisco,Female,White,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
W10632556,City College of San Francisco,Female,Asian,Local Student,Full time,Very helpful,Very effective,Very helpful,Not too difficult
20392214,University of San Francisco,Male,Asian,Local Student,Full time,Somewhat helpful,Struggle learning in this class,Somewhat helpful,No problem at all
20392332,University of San Francisco,Female,Asian,International Student,Full time,Very helpful,Somewhat effective,Very helpful,Not too difficult
20384235,University of San Francisco,Female,Asian,Local Student,Full time,Somewhat helpful,Somewhat effective,Very helpful,Not too difficult
